raceId,driverId,stop,lap,milliseconds_pit,positionOrder,points,laps
1004,822,1,12,29794,2,18.0,53
1004,20,1,13,29798,3,15.0,53
1004,8,1,18,29531,4,12.0,53
1004,830,1,43,29370,5,10.0,53
1004,817,1,39,37446,6,8.0,53
1004,844,1,10,30397,7,6.0,53
1004,825,1,9,29904,8,4.0,52
1004,839,1,10,30642,9,2.0,52
1004,815,1,12,29924,10,1.0,52
1004,154,1,8,30469,11,0.0,52
1004,807,1,35,30625,12,0.0,52
1004,828,1,11,30051,13,0.0,52
1004,828,2,37,30146,13,0.0,52
1004,4,1,5,30348,14,0.0,52
1004,840,1,7,29266,15,0.0,52
1004,838,1,11,29636,16,0.0,51
1004,832,1,32,30021,17,0.0,51
1004,845,1,10,29912,18,0.0,51
1004,843,1,3,29418,20,0.0,4
1005,1,1,24,22614,1,25.0,53
1005,822,1,23,22777,2,18.0,53
1005,830,1,21,28789,3,15.0,53
1005,817,1,23,22864,4,12.0,53
1005,8,1,17,22781,5,10.0,53
1005,20,1,26,22748,6,8.0,53
1005,815,1,24,23635,7,6.0,53
1005,154,1,29,23692,8,4.0,53
1005,839,1,26,23316,9,2.0,53
1005,832,1,32,23477,10,1.0,52
1005,842,1,29,23376,11,0.0,52
1005,828,1,5,23244,12,0.0,52
1005,843,1,28,23110,13,0.0,52
1005,4,1,26,27454,14,0.0,52
1005,838,1,23,23159,15,0.0,52
1005,845,1,4,23660,16,0.0,52
1005,845,2,38,23647,16,0.0,52
1005,840,1,14,23657,17,0.0,52
1005,840,2,39,29804,17,0.0,52
1005,844,1,4,38891,18,0.0,38
1005,844,2,35,26672,18,0.0,38
1005,807,1,30,23555,19,0.0,37
1005,825,1,2,29007,20,0.0,8
1006,8,1,21,23714,1,25.0,56
1006,830,1,22,23446,2,18.0,56
1006,1,1,11,23693,3,15.0,56
1006,1,2,37,23915,3,15.0,56
1006,20,1,26,24449,4,12.0,56
1006,822,1,23,23478,5,10.0,56
1006,807,1,23,24681,6,8.0,56
1006,832,1,24,29319,7,6.0,56
1006,815,1,25,25723,8,4.0,56
1006,843,1,27,23819,9,2.0,55
1006,828,1,30,23940,10,1.0,55
1006,838,1,10,24065,11,0.0,55
1006,838,2,40,24195,11,0.0,55
1006,842,1,10,23865,12,0.0,55
1006,842,2,36,24219,12,0.0,55
1006,845,1,10,23686,13,0.0,55
1006,845,2,29,23715,13,0.0,55
1006,840,1,1,41048,14,0.0,54
1006,840,2,5,18610,14,0.0,54
1006,840,3,38,24296,14,0.0,54
1006,844,1,1,34812,15,0.0,31
1006,154,1,1,35104,17,0.0,2
1006,839,1,22,24534,19,0.0,56
1006,825,1,30,23723,20,0.0,56
1007,830,1,13,22175,1,25.0,71
1007,830,2,48,22088,1,25.0,71
1007,20,1,17,22658,2,18.0,71
1007,20,2,47,21777,2,18.0,71
1007,8,1,17,22017,3,15.0,71
1007,1,1,11,22269,4,12.0,71
1007,1,2,47,22399,4,12.0,71
1007,822,1,11,22105,5,10.0,70
1007,822,2,48,23887,5,10.0,70
1007,822,3,62,22512,5,10.0,70
1007,807,1,12,23037,6,8.0,69
1007,844,1,13,22588,7,6.0,69
1007,838,1,12,22174,8,4.0,69
1007,828,1,16,31406,9,2.0,69
1007,842,1,5,22570,10,1.0,69
1007,842,2,26,23055,10,1.0,69
1007,839,1,1,27806,11,0.0,69
1007,839,2,30,22756,11,0.0,69
1007,840,1,10,24451,12,0.0,69
1007,840,2,23,23371,12,0.0,69
1007,845,1,11,22732,13,0.0,69
1007,843,1,1,22055,14,0.0,69
1007,843,2,24,23553,14,0.0,69
1007,825,1,43,22390,15,0.0,69
1007,154,1,44,22733,16,0.0,68
1007,154,2,60,23426,16,0.0,68
1007,817,1,12,22022,17,0.0,61
1007,815,1,30,23755,18,0.0,38
1007,832,1,11,22660,19,0.0,28
1008,1,1,19,22641,1,25.0,71
1008,830,1,35,23432,2,18.0,71
1008,8,1,31,22766,3,15.0,71
1008,817,1,39,23300,4,12.0,71
1008,822,1,18,22955,5,10.0,71
1008,822,2,59,22727,5,10.0,71
1008,20,1,27,22551,6,8.0,71
1008,20,2,53,22683,6,8.0,71
1008,844,1,35,23593,7,6.0,71
1008,154,1,32,23403,8,4.0,71
1008,825,1,41,23115,9,2.0,71
1008,815,1,39,23505,10,1.0,70
1008,843,1,49,23422,11,0.0,70
1008,832,1,25,23939,12,0.0,70
1008,832,2,48,23770,12,0.0,70
1008,842,1,22,23757,13,0.0,70
1008,838,1,28,22618,14,0.0,70
1008,839,1,40,27226,15,0.0,70
1008,839,2,57,31198,15,0.0,70
1008,845,1,16,23273,16,0.0,69
1008,4,1,15,33753,17,0.0,69
1008,4,2,54,23046,17,0.0,69
1008,840,1,17,24608,18,0.0,69
1008,840,2,65,24283,18,0.0,69
1008,828,1,18,23377,20,0.0,20
1009,1,1,7,21283,1,25.0,55
1009,20,1,15,22630,2,18.0,55
1009,830,1,17,21057,3,15.0,55
1009,817,1,33,21061,4,12.0,55
1009,822,1,16,21600,5,10.0,55
1009,822,2,40,21289,5,10.0,55
1009,832,1,37,21964,6,8.0,55
1009,844,1,7,21828,7,6.0,55
1009,815,1,26,22112,8,4.0,55
1009,154,1,7,22354,9,2.0,54
1009,825,1,41,21587,10,1.0,54
1009,4,1,27,21726,11,0.0,54
1009,843,1,1,41012,12,0.0,54
1009,840,1,40,22189,13,0.0,54
1009,838,1,35,22317,14,0.0,54
1009,845,1,35,22755,15,0.0,54
1009,842,1,29,22493,16,0.0,46
1009,839,1,18,21979,17,0.0,44
1010,822,1,23,22014,1,26.0,58
1010,1,1,15,21515,2,18.0,58
1010,830,1,25,21157,3,15.0,58
1010,20,1,14,21995,4,12.0,58
1010,844,1,28,22306,5,10.0,58
1010,825,1,14,22388,6,8.0,58
1010,807,1,13,21588,7,6.0,57
1010,8,1,12,23299,8,4.0,57
1010,840,1,27,22471,9,2.0,57
1010,826,1,26,22086,10,1.0,57
1010,842,1,37,21269,11,0.0,57
1010,846,1,15,21627,12,0.0,57
1010,815,1,13,23234,13,0.0,57
1010,848,1,14,21780,14,0.0,57
1010,841,1,27,27172,15,0.0,57
1010,847,1,26,21689,16,0.0,56
1010,847,2,42,21543,16,0.0,56
1010,9,1,1,32997,17,0.0,55
1010,9,2,28,22343,17,0.0,55
1010,9,3,44,21889,17,0.0,55
1010,154,1,15,29981,18,0.0,29
1010,817,1,1,33027,19,0.0,28
1011,1,1,13,24255,1,25.0,57
1011,1,2,34,24324,1,25.0,57
1011,822,1,12,24865,2,18.0,57
1011,822,2,37,24433,2,18.0,57
1011,844,1,13,24518,3,16.0,57
1011,844,2,36,24358,3,16.0,57
1011,830,1,11,24199,4,12.0,57
1011,830,2,32,26729,4,12.0,57
1011,20,1,14,24228,5,10.0,57
1011,20,2,35,24212,5,10.0,57
1011,20,3,38,34193,5,10.0,57
1011,846,1,10,24175,6,8.0,57
1011,846,2,34,24717,6,8.0,57
1011,8,1,9,25647,7,6.0,57
1011,8,2,33,25621,7,6.0,57
1011,842,1,9,27557,8,4.0,57
1011,842,2,39,24484,8,4.0,57
1011,848,1,9,25659,9,2.0,57
1011,848,2,25,24842,9,2.0,57
1011,815,1,8,27136,10,1.0,57
1011,815,2,33,26798,10,1.0,57
1011,841,1,16,27725,11,0.0,57
1011,841,2,40,24880,11,0.0,57
1011,826,1,12,26508,12,0.0,56
1011,826,2,38,30761,12,0.0,56
1011,825,1,10,24948,13,0.0,56
1011,825,2,38,25982,13,0.0,56
1011,840,1,1,34338,14,0.0,56
1011,840,2,23,26600,14,0.0,56
1011,847,1,12,24633,15,0.0,56
1011,847,2,26,24912,15,0.0,56
1011,9,1,11,24667,16,0.0,55
1011,9,2,27,24313,16,0.0,55
1011,807,1,12,25498,17,0.0,53
1011,807,2,32,25253,17,0.0,53
1011,817,1,24,25676,18,0.0,53
1011,832,1,4,45543,19,0.0,53
1011,832,2,24,25034,19,0.0,53
1011,832,3,40,24985,19,0.0,53
1011,154,1,1,32082,20,0.0,16
1012,1,1,22,22644,1,25.0,56
1012,1,2,36,23597,1,25.0,56
1012,822,1,21,22196,2,18.0,56
1012,822,2,36,24083,2,18.0,56
1012,20,1,18,22749,3,15.0,56
1012,20,2,35,22316,3,15.0,56
1012,830,1,17,23223,4,12.0,56
1012,830,2,34,22365,4,12.0,56
1012,844,1,22,22921,5,10.0,56
1012,844,2,42,24227,5,10.0,56
1012,842,1,19,22301,6,9.0,56
